id,phone_name,phone_brand,category,release_date,processor_name,processor_brand,processor_series,processor_generation,x_metric_antutu_score,x_metric_antutu_rank,y_price_amount,y_price_currency,y_price_inr,y_price_usd,y_price_type,price_source,price_raw_value,price_confidence,launch_price_candidates,current_price_candidates,source_urls,source_matches,missing_fields,is_v1_flagship,device_family,release_year,device_variant,canonical_model,cpu_geekbench6_single_core,cpu_geekbench6_multi_core,cpu_source_url,cpu_observed_at,cpu_match_confidence,gpu_3dmark_wild_life_extreme_score,gpu_3dmark_wild_life_extreme_fps,gpu_source_url,gpu_observed_at,gpu_match_confidence,ai_geekbench_quantized_score,ai_backend,ai_accelerator,ai_precision,ai_source_url,ai_observed_at,ai_match_confidence,benchmark_status,benchmark_review_reason,benchmark_last_checked_at,benchmark_source_hash
ipad-mini-7-apple-a17-pro-ios,iPad mini 7,Apple,ios,2024-10-23,A17 Pro,Other,other,Other,1814572,22,47399,INR,47399,544.82,current,smartprix,"INR 47,399",0.9,499|USD|43413|499|smartprix|0.95,47399|INR|47399|544.82|smartprix|0.9,https://www.smartprix.com/tablets/apple-ipad-mini-2024-ppd1u9pck05n,smartprix|iPad mini 7|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
iphone-15-pro-apple-a17-pro-ios,iPhone 15 Pro,Apple,ios,2023-09-22,A17 Pro,Other,other,Other,1455385,30,105900,INR,105900,1217.24,current,apple-in,"INR 1,05,900",0.9,999|USD|86913|999|apple-in|0.95,105900|INR|105900|1217.24|apple-in|0.9,https://www.apple.com/in/shop/buy-iphone/iphone-15-pro,apple-in|iPhone 15 Pro|1,,true,iPhone,2023,Pro,Iphone 15 Pro,2925,7444,https://browser.geekbench.com/v6/cpu/18934510,2026-08-07T21:34:14+00:00,1.0,,,,,,31068,Core ML,Neural Engine,INT8,https://browser.geekbench.com/ios_devices/iphone-15-pro,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,073bf61c097ee15c
iphone-15-pro-max-apple-a17-pro-ios,iPhone 15 Pro Max,Apple,ios,2023-09-22,A17 Pro,Other,other,Other,1359948,35,129900,INR,129900,1493.1,current,apple-in,"INR 1,29,900",0.9,1199|USD|104313|1199|apple-in|0.95,129900|INR|129900|1493.1|apple-in|0.9,https://www.apple.com/in/shop/buy-iphone/iphone-15-pro,apple-in|iPhone 15 Pro Max|1,,true,iPhone,2023,Pro Max,Iphone 15 Pro Max,2897,7322,https://browser.geekbench.com/v6/cpu/18933212,2026-08-07T21:34:14+00:00,1.0,,,,,,30351,Core ML,Neural Engine,INT8,https://browser.geekbench.com/ios_devices/iphone-15-pro-max,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,99686583a86c4700
mi-pad-6s-pro-12-4-xiaomi-snapdragon-8-gen-2-android-lite,Mi Pad 6S Pro 12.4,Xiaomi,android_lite,2024-02-22,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1761129,26,49990,INR,49990,574.6,current,smartprix,"INR 49,990",0.9,699|USD|60813|699|smartprix|0.95,49990|INR|49990|574.6|smartprix|0.9,https://www.smartprix.com/tablets/xiaomi-pad-6s-pro-12-4-tablet-ppd12aey24m9,smartprix|Mi Pad 6S Pro 12.4|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
poco-f6-pro-poco-snapdragon-8-gen-2-android,Poco F6 Pro,POCO,android,2024-05-23,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1752814,48,449,USD,39063,449,current,gsmarena,USD 449,0.9,499|USD|43413|499|gsmarena|0.95,449|USD|39063|449|gsmarena|0.9,https://www.gsmarena.com/xiaomi_poco_f6_pro-13000.php,gsmarena|Poco F6 Pro|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
galaxy-tab-s9-plus-wifi-samsung-snapdragon-8-gen-2-android-lite,Galaxy Tab S9+ WiFi,Samsung,android_lite,2023-08-11,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1715502,27,90999,INR,90999,1045.97,current,smartprix,"INR 90,999",0.9,999.99|USD|86999|999.99|smartprix|0.95,90999|INR|90999|1045.97|smartprix|0.9,https://www.smartprix.com/tablets/samsung-galaxy-tab-s9-plus-tablet-wi-fi-ppd1g9fcp14c,smartprix|Galaxy Tab S9+ WiFi|1,,false,,2023,,,,,,,,,,,,,,,,,,,,not_eligible,,,
galaxy-tab-s9-wifi-samsung-snapdragon-8-gen-2-android-lite,Galaxy Tab S9 WiFi,Samsung,android_lite,2023-08-11,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1708755,28,63999,INR,63999,735.62,current,smartprix,"INR 63,999",0.9,799.99|USD|69599|799.99|smartprix|0.95,63999|INR|63999|735.62|smartprix|0.9,https://www.smartprix.com/tablets/samsung-galaxy-tab-s9-tablet-wi-fi-ppd19fckp10h,smartprix|Galaxy Tab S9 WiFi|1,,false,,2023,,,,,,,,,,,,,,,,,,,,not_eligible,,,
galaxy-s23-ultra-samsung-snapdragon-8-gen-2-android,Galaxy S23 Ultra,Samsung,android,2023-02-17,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1684419,55,79999,INR,79999,919.53,current,smartprix,"INR 79,999",0.9,1199|USD|104313|1199|smartprix|0.95,79999|INR|79999|919.53|smartprix|0.9; 124999|INR|124999|1436.77|existing-data|0.65; 1199|USD|104313|1199|existing-data|0.62,https://www.smartprix.com/mobiles/samsung-galaxy-s23-ultra-ppd1u1ch94n3,smartprix|Samsung Galaxy S23 Ultra|1,,true,Galaxy S,2023,Ultra,Galaxy S23 Ultra,1783,4731,https://browser.geekbench.com/v6/cpu/18933767,2026-08-07T21:34:14+00:00,1.0,,,,,,29790,TensorFlow Lite,QNN,INT8,https://browser.geekbench.com/android_devices/samsung-galaxy-s23-ultra,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,ab15111c5f5c2ce0
galaxy-s23-samsung-snapdragon-8-gen-2-android,Galaxy S23,Samsung,android,2023-02-17,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1656561,56,54999,INR,54999,632.17,current,smartprix,"INR 54,999",0.9,799|USD|69513|799|smartprix|0.95,54999|INR|54999|632.17|smartprix|0.9,https://www.smartprix.com/mobiles/samsung-galaxy-s23-5g-ppd10q9824p0,smartprix|Galaxy S23|1,,true,Galaxy S,2023,Standard,Galaxy S23,1906,4989,https://browser.geekbench.com/v6/cpu/18933443,2026-08-07T21:34:14+00:00,1.0,,,,,,30990,TensorFlow Lite,QNN,INT8,https://browser.geekbench.com/android_devices/samsung-galaxy-s23,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,6e8f7ece32b00dd1
mi-13-xiaomi-snapdragon-8-gen-2-android-ai-phone,Mi 13,Xiaomi,android_ai_phone,2022-12-14,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1183539,38,49999,INR,49999,574.7,current,smartprix,"INR 49,999",0.9,699|USD|60813|699|smartprix|0.95,49999|INR|49999|574.7|smartprix|0.9,https://www.smartprix.com/mobiles/xiaomi-13-ppd12aey24m9,smartprix|Mi 13|1,,false,,2022,,,,,,,,,,,,,,,,,,,,not_eligible,,,
