status,phoneName,phoneBrand,processorName,processorBrand,processorSeries,antutuScore,category,plottedPrice,plottedPriceType,source,id
"missing_price","Generic MediaTek Dimensity1080","Generic","Dimensity 1080","MediaTek","premium","366444","harvested","","","","generic-mediatek-dimensity1080-generic-dimensity-1080-harvested"
"missing_price","Generic MediaTek Dimensity7050","Generic","Dimensity 7050","MediaTek","mid","365693","harvested","","","","generic-mediatek-dimensity7050-generic-dimensity-7050-harvested"
"missing_price","Generic HiSilicon Kirin980","Generic","Kirin 980","Kirin","premium","356139","harvested","","","","generic-hisilicon-kirin980-generic-kirin-980-harvested"
"missing_price","Generic 紫光展锐 T820","Generic","Unisoc T820","Unisoc","entry","317066","harvested","","","","generic-t820-generic-unisoc-t820-harvested"
"missing_price","Generic MediaTek Dimensity7025","Generic","Dimensity 7025","MediaTek","mid","310293","harvested","","","","generic-mediatek-dimensity7025-generic-dimensity-7025-harvested"
"missing_price","Generic 紫光展锐 T760","Generic","Unisoc T760","Unisoc","entry","308508","harvested","","","","generic-t760-generic-unisoc-t760-harvested"
"missing_price","Generic Qualcomm Snapdragon765G","Generic","Snapdragon 765G","Snapdragon","premium","307327","harvested","","","","generic-qualcomm-snapdragon765g-generic-snapdragon-765g-harvested"
"missing_price","HUAWEI MatePad SE 11","Huawei","Snapdragon 685","Snapdragon","mid","306187","android_lite","","","","huawei-matepad-se-11-huawei-snapdragon-685-android-lite"
"missing_price","Galaxy Tab A7","Samsung","Snapdragon 662","Snapdragon","mid","304638","android_lite","","","","galaxy-tab-a7-samsung-snapdragon-662-android-lite"
"missing_price","Generic HiSilicon Kirin810","Generic","Kirin 810","Kirin","mid","292711","harvested","","","","generic-hisilicon-kirin810-generic-kirin-810-harvested"
"missing_price","Generic Qualcomm Snapdragon720G","Generic","Snapdragon 720G","Snapdragon","mid","282758","harvested","","","","generic-qualcomm-snapdragon720g-generic-snapdragon-720g-harvested"
"missing_price","Generic Qualcomm Snapdragon4 Gen 2","Generic","Snapdragon 4 Gen 2","Snapdragon","entry","282323","harvested","","","","generic-qualcomm-snapdragon4-gen-2-generic-snapdragon-4-gen-2-harvested"
"missing_price","Generic Qualcomm Snapdragon4 Gen 1","Generic","Snapdragon 4 Gen 1","Snapdragon","entry","280652","harvested","","","","generic-qualcomm-snapdragon4-gen-1-generic-snapdragon-4-gen-1-harvested"
"missing_price","Generic Samsung Exynos 1280","Generic","Exynos 1280","Exynos","mid","279887","harvested","","","","generic-samsung-exynos-1280-generic-exynos-1280-harvested"
"missing_price","Generic MediaTek Dimensity6300","Generic","Dimensity 6300","MediaTek","entry","264289","harvested","","","","generic-mediatek-dimensity6300-generic-dimensity-6300-harvested"
"missing_price","Generic MediaTek Helio G99","Generic","Helio G99","MediaTek","mid","255902","harvested","","","","generic-mediatek-helio-g99-generic-helio-g99-harvested"
"missing_price","Generic Qualcomm Snapdragon4s Gen 2","Generic","Snapdragon 4s Gen 2","Snapdragon","entry","253265","harvested","","","","generic-qualcomm-snapdragon4s-gen-2-generic-snapdragon-4s-gen-2-harvested"
"missing_price","Generic MediaTek Dimensity6100+","Generic","Dimensity 6100+","MediaTek","entry","252768","harvested","","","","generic-mediatek-dimensity6100-plus-generic-dimensity-6100-plus-harvested"
"missing_price","Generic MediaTek Dimensity6080","Generic","Dimensity 6080","MediaTek","entry","245724","harvested","","","","generic-mediatek-dimensity6080-generic-dimensity-6080-harvested"
"missing_price","REDMI K80 Ultra","Xiaomi","Dimensity 9400","MediaTek","flagship","242639","android_ai_phone","","","","redmi-k80-ultra-xiaomi-dimensity-9400-android-ai-phone"
"missing_price","Generic MediaTek Helio G96","Generic","Helio G96","MediaTek","mid","231774","harvested","","","","generic-mediatek-helio-g96-generic-helio-g96-harvested"
"missing_price","vivo X100 Pro","vivo","Dimensity 9300","MediaTek","flagship","206737","android_ai_phone","","","","vivo-x100-pro-vivo-dimensity-9300-android-ai-phone"
"missing_price","Redmi K70 Ultra","Xiaomi","Dimensity 9300","MediaTek","flagship","206420","android_ai_phone","","","","redmi-k70-ultra-xiaomi-dimensity-9300-android-ai-phone"
"missing_price","OnePlus Ace 5 Ultra","OnePlus","Dimensity 9400","MediaTek","flagship","205609","android_ai_phone","","","","oneplus-ace-5-ultra-oneplus-dimensity-9400-android-ai-phone"
"missing_price","Generic MediaTek Helio G88","Generic","Helio G88","MediaTek","mid","168805","harvested","","","","generic-mediatek-helio-g88-generic-helio-g88-harvested"
"missing_price","iQOO Z10 Turbo","iQOO","Dimensity 8400","MediaTek","premium","167492","android_ai_phone","","","","iqoo-z10-turbo-iqoo-dimensity-8400-android-ai-phone"
"missing_price","Redmi K40","Xiaomi","Snapdragon 870","Snapdragon","flagship","126224","android_ai_phone","","","","redmi-k40-xiaomi-snapdragon-870-android-ai-phone"
"missing_price","Generic MediaTek Helio G35","Generic","Helio G35","MediaTek","entry","104597","harvested","","","","generic-mediatek-helio-g35-generic-helio-g35-harvested"
"missing_price","Redmi 14R 5G","Xiaomi","Snapdragon 4 Gen 2","Snapdragon","entry","57301","android_ai_phone","","","","redmi-14r-5g-xiaomi-snapdragon-4-gen-2-android-ai-phone"
"missing_price","vivo Y73s 5G","vivo","Dimensity 720","MediaTek","entry","50389","android_ai_phone","","","","vivo-y73s-5g-vivo-dimensity-720-android-ai-phone"
